dataset,method,batch_size,n_profiled,repeats,end_to_end_ms_per_sample_mean,end_to_end_ms_per_sample_std,knowledge_stage_ms_per_sample_mean,knowledge_stage_ms_per_sample_std,throughput_samples_per_s_mean,throughput_samples_per_s_std,incremental_peak_gpu_mib_mean,incremental_peak_gpu_mib_std,static_cache_mib_mean,static_cache_mib_std,minimum_top1_agreement_vs_first_repeat
01_ESC50,CLAP,1,200,5,40.32621431152802,5.968239460008536,0.5626774383708835,0.10098110041347053,25.20488800709135,3.466655146918549,35.896484375,0.0,28.08984375,0.0,1.0
01_ESC50,Frozen-iKnow,1,200,5,45.241553065832704,2.6420184230544392,4.640052080852911,0.5283243786141067,22.163397440364147,1.2815975864571487,35.896484375,0.0,28.08984375,0.0,1.0
01_ESC50,Final-TFS,1,200,5,261.9167077958118,71.58013751102845,221.13226352480706,62.58144762257256,4.038958542455086,1.0257953622959535,35.896484375,0.0,28.08984375,0.0,1.0
01_ESC50,CLAP,32,200,5,11.46482019231189,0.9831936932937763,0.31864775193389505,0.08127582548025108,87.70844900502243,7.079702041550992,1022.0,0.0,28.08984375,0.0,1.0
01_ESC50,Frozen-iKnow,32,200,5,16.17731533537153,4.384474351247431,4.267854072502814,1.9788717069801391,64.6988999082279,13.38150123782575,1022.0,0.0,28.08984375,0.0,1.0
01_ESC50,Final-TFS,32,200,5,202.40090798796155,68.50920700599458,190.6329608031083,67.47224152574026,5.309638356402368,1.4010406133798332,1022.0,0.0,28.08984375,0.0,1.0
